din,brand_name,company_name,active_ingredients,last_update
02549646,PMSC-SIMVASTATIN,PHARMASCIENCE INC,SIMVASTATIN 10 MG,16-JUN-2025
02549654,PMSC-SIMVASTATIN,PHARMASCIENCE INC,SIMVASTATIN 20 MG,16-JUN-2025
02549662,PMSC-SIMVASTATIN,PHARMASCIENCE INC,SIMVASTATIN 40 MG,16-JUN-2025
02549670,PMSC-SIMVASTATIN,PHARMASCIENCE INC,SIMVASTATIN 80 MG,16-JUN-2025
02549719,PMS-LEVODOPA-CARBIDOPA,PHARMASCIENCE INC,CARBIDOPA 10 MG / LEVODOPA 100 MG,30-OCT-2025
02549727,PMS-LEVODOPA-CARBIDOPA,PHARMASCIENCE INC,LEVODOPA 100 MG / CARBIDOPA 25 MG,30-OCT-2025
02549735,PMS-LEVODOPA-CARBIDOPA,PHARMASCIENCE INC,LEVODOPA 250 MG / CARBIDOPA 25 MG,30-OCT-2025
02549794,PMS-MORPHINE SULFATE,PHARMASCIENCE INC,MORPHINE SULFATE 5 MG,22-MAR-2025
02549808,PMS-MORPHINE SULFATE,PHARMASCIENCE INC,MORPHINE SULFATE 10 MG,22-MAR-2025
02549883,APO-BILASTINE TABLETS,APOTEX INC,BILASTINE 20 MG,22-MAR-2025
02549891,CAPVAXIVE,MERCK CANADA INC,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23B 4 MCG / CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN 65 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 20A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 17F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 24F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 35B 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 16F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE DEOAC15B 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 8 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A 4 MCG / PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 31 4 MCG,12-NOV-2025
02549905,SOFTSOAP ANTIBACTERIAL FOR SENSITIVE SKIN,COLGATE-PALMOLIVE CANADA INC,BENZALKONIUM CHLORIDE 0.13 %,22-MAR-2025
02549948,SUNSCREEN BROAD SPECTRUM SPF 50,MARY KAY COSMETICS LTD,OCTISALATE 4.5 % / OCTOCRYLENE 9 % / AVOBENZONE 3 %,26-MAR-2025
02549956,HYDRATING SUNSCREEN MILK,FIRST AID BEAUTY LTD,AVOBENZONE 3 % / HOMOSALATE 7 % / OCTOCRYLENE 9 % / OCTISALATE 5 %,15-JUL-2025
02549972,M-LETROZOLE,MANTRA PHARMA INC,LETROZOLE 2.5 MG,29-APR-2025
02549980,TIBSOVO,SERVIER CANADA INC,IVOSIDENIB 250 MG,22-MAR-2025
02549999,AURO-LIOTHYRONINE,AURO PHARMA INC,LIOTHYRONINE (LIOTHYRONINE SODIUM) 5 MCG,25-SEP-2025
02550008,AURO-LIOTHYRONINE,AURO PHARMA INC,LIOTHYRONINE (LIOTHYRONINE SODIUM) 25 MCG,25-SEP-2025
02550040,VOYDEYA,ALEXION PHARMA GMBH,DANICOPAN 150 MG,31-DEC-2025
02550016,NRA-GABAPENTIN,NORA PHARMA INC,GABAPENTIN 100 MG,08-AUG-2025
02550024,NRA-GABAPENTIN,NORA PHARMA INC,GABAPENTIN 300 MG,08-AUG-2025
02550032,NRA-GABAPENTIN,NORA PHARMA INC,GABAPENTIN 400 MG,08-AUG-2025
02550059,VOYDEYA,ALEXION PHARMA GMBH,DANICOPAN 200 MG,31-DEC-2025
02550067,PMS-SUGAMMADEX,PHARMASCIENCE INC,SUGAMMADEX (SUGAMMADEX SODIUM) 100 MG,31-DEC-2025
02550075,BORTEZOMIB INJECTION,DR REDDY'S LABORATORIES LTD,BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER) 2.5 MG,29-JUL-2025
02550156,COPPERTONE SUNSCREEN SPF 50 SPRAY SPORT,BEIERSDORF CANADA INC,OCTISALATE 3.4 % / HOMOSALATE 6.8 % / AVOBENZONE 2 % / OCTOCRYLENE 3.4 %,23-MAR-2026
02550172,LEVETIRACETAM INJECTION USP,OMEGA LABORATORIES LIMITED,LEVETIRACETAM 100 MG,04-SEP-2025
02550180,COPPERTONE SUNSCREEN SPF 50 SPRAY KIDS,BEIERSDORF CANADA INC,OCTOCRYLENE 3.4 % / AVOBENZONE 2 % / HOMOSALATE 6.8 % / OCTISALATE 3.4 %,23-MAR-2026
02550199,"OXYTOCIN INJECTION, USP",HIKMA CANADA LIMITED,OXYTOCIN 10 UNIT,09-SEP-2025
02550202,PMSC-RAMIPRIL,PHARMASCIENCE INC,RAMIPRIL 1.25 MG,16-OCT-2025
02550210,PMSC-RAMIPRIL,PHARMASCIENCE INC,RAMIPRIL 2.5 MG,16-OCT-2025
02550229,PMSC-RAMIPRIL,PHARMASCIENCE INC,RAMIPRIL 5 MG,16-OCT-2025
02550237,PMSC-RAMIPRIL,PHARMASCIENCE INC,RAMIPRIL 10 MG,16-OCT-2025
02550245,STEQEYMA,CELLTRION INC.,USTEKINUMAB 45 MG,17-MAR-2026
02550253,STEQEYMA,CELLTRION INC.,USTEKINUMAB 90 MG,17-MAR-2026
02550261,STEQEYMA IV,CELLTRION INC.,USTEKINUMAB 5 MG,17-MAR-2026
02550296,SPEVIGO,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,SPESOLIMAB 150 MG,25-MAR-2026
02550318,ANTI-DANDRUFF HYDRATING CONDITIONER,CERAVE CANADA,PYRITHIONE ZINC 0.5 %,22-MAR-2025
02550326,BENZALKONIUM CHLORIDE WIPES,ACME UNITED CORPORATION,BENZALKONIUM CHLORIDE 0.13 %,22-MAR-2025
02550377,NRA-PRUCALOPRIDE,NORA PHARMA INC,PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE) 1 MG,22-MAR-2025
02550385,NRA-PRUCALOPRIDE,NORA PHARMA INC,PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE) 2 MG,22-MAR-2025
02550423,CABTREO,"BAUSCH HEALTH, CANADA INC.",BENZOYL PEROXIDE 3.1 % / ADAPALENE 0.15 % / CLINDAMYCIN PHOSPHATE 1.2 %,01-OCT-2025
02550431,"KETAMINE HYDROCHLORIDE INJECTION, USP",FRESENIUS KABI CANADA LTD,KETAMINE (KETAMINE HYDROCHLORIDE) 10 MG,16-DEC-2025
02550458,"KETAMINE HYDROCHLORIDE INJECTION, USP",FRESENIUS KABI CANADA LTD,KETAMINE (KETAMINE HYDROCHLORIDE) 50 MG,16-DEC-2025
02550466,PRISMA PROTECT,"DERMALOGICA, LLC",HOMOSALATE 7 % / OCTISALATE 5 % / OCTOCRYLENE 10 % / AVOBENZONE 3 %,15-AUG-2025
02550504,MAR-METFORMIN XR,MARCAN PHARMACEUTICALS INC,METFORMIN HYDROCHLORIDE 500 MG,22-MAR-2025
02550512,MAR-METFORMIN XR,MARCAN PHARMACEUTICALS INC,METFORMIN HYDROCHLORIDE 1000 MG,22-MAR-2025
02550555,AMB-BUSPIRONE,AMBICARE PHARMACEUTICALS INC.,BUSPIRONE HYDROCHLORIDE 10 MG,27-AUG-2025
02550598,ANTI-DANDRUFF 2 IN 1,CERAVE CANADA,PYRITHIONE ZINC 1 %,22-MAR-2025
02550601,ROC DEEP WRINKLE DAILY MOISTURIZER SPF 30,ROC SKINCARE,OCTOCRYLENE 2 % / AVOBENZONE 3 % / OCTISALATE 5 % / HOMOSALATE 6.6 %,14-JUL-2025
02550636,PAVBLU,AMGEN CANADA INC,AFLIBERCEPT 2 MG,09-SEP-2025
02550644,M-PIRFENIDONE,MANTRA PHARMA INC,PIRFENIDONE 267 MG,22-MAR-2025
02550652,M-PIRFENIDONE,MANTRA PHARMA INC,PIRFENIDONE 801 MG,22-MAR-2025
02550660,REGULAR STRENGTH ACETAMINOPHEN,LNK INTERNATIONAL INC.,ACETAMINOPHEN 325 MG,23-JUN-2025
02550679,ACCRUFER,KYE PHARMACEUTICALS INC.,IRON (FERRIC MALTOL) 30 MG,22-MAR-2025
02550709,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 25 MCG,22-MAR-2025
02550717,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 50 MCG,22-MAR-2025
02550725,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 75 MCG,22-MAR-2025
02550733,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 88 MCG,22-MAR-2025
02550741,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 112 MCG,22-MAR-2025
02550768,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 125 MCG,22-MAR-2025
02550776,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 137 MCG,22-MAR-2025
02550784,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 150 MCG,22-MAR-2025
02550792,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 175 MCG,22-MAR-2025
02550806,APO-LEVOTHYROXINE,APOTEX INC,LEVOTHYROXINE SODIUM 200 MCG,22-MAR-2025
02550814,PRZ-PROPRANOLOL,PHARMARIS CANADA INC,PROPRANOLOL HYDROCHLORIDE 20 MG,21-MAY-2025
02550822,PRZ-PROPRANOLOL,PHARMARIS CANADA INC,PROPRANOLOL HYDROCHLORIDE 40 MG,21-MAY-2025
02550830,PRZ-PROPRANOLOL,PHARMARIS CANADA INC,PROPRANOLOL HYDROCHLORIDE 80 MG,21-MAY-2025
02550849,JAMP NINTEDANIB,JAMP PHARMA CORPORATION,NINTEDANIB (NINTEDANIB ESILATE) 100 MG,30-DEC-2025
02550865,APO-TIOTROPIUM,APOTEX INC,TIOTROPIUM (TIOTROPIUM BROMIDE MONOHYDRATE) 18 MCG,22-MAR-2025
02550873,BANANA BOAT ULTRA SPORT SMARTMIST SUNSCREEN SPRAY,"EDGEWELL PERSONAL CARE CANADA, ULC",AVOBENZONE 2.7 % / OCTOCRYLENE 7 % / OCTISALATE 4.5 % / HOMOSALATE 9 %,22-MAR-2025
02550881,APO-NILOTINIB,APOTEX INC,NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE) 150 MG,22-MAR-2025
02550903,APO-NILOTINIB,APOTEX INC,NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE) 200 MG,22-MAR-2025
02550911,COOLA DEW GOOD ILLUMINATING BODY MELT SUNSCREEN LOTION,COOLA LLC,OCTOCRYLENE 8 % / OCTISALATE 4 % / AVOBENZONE 3 %,07-AUG-2025
02550946,ANTI-DANDRUFF HYDRATING SHAMPOO,CERAVE CANADA,PYRITHIONE ZINC 1 %,22-MAR-2025
02550962,"LORAZEPAM INJECTION, USP",FRESENIUS KABI CANADA LTD,LORAZEPAM 4 MG,30-JAN-2026
02550997,"BISACODYL TABLETS, 5 MG","TIME-CAP LABORATORIES, INC",BISACODYL 5 MG,26-NOV-2025
02551012,RYBELSUS,NOVO NORDISK CANADA INC,SEMAGLUTIDE 1.5 MG,24-MAR-2026
02551020,RYBELSUS,NOVO NORDISK CANADA INC,SEMAGLUTIDE 4 MG,24-MAR-2026
02551039,RYBELSUS,NOVO NORDISK CANADA INC,SEMAGLUTIDE 9 MG,24-MAR-2026
02551063,CLOROTEKAL,B. BRAUN MELSUNGEN AG,CHLOROPROCAINE HYDROCHLORIDE 10 MG,26-JUN-2025
02551187,M-ESZOPICLONE,MANTRA PHARMA INC,ESZOPICLONE 1 MG,22-MAR-2025
02551195,M-ESZOPICLONE,MANTRA PHARMA INC,ESZOPICLONE 2 MG,22-MAR-2025
